"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
49.36.83.154,2023-07-25,12:55:06 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Vadodara,391101,22.3008,73.2043
49.36.83.154,2023-08-04,07:25:04 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-28,05:25:41 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-08-31,11:44:00 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-08,06:04:17 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-12,11:40:49 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-13,10:22:50 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-18,04:49:26 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-10-11,09:36:28 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-12-04,11:22:38 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
49.36.83.154,2023-12-11,12:32:14 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
49.36.83.154,2023-12-14,04:42:12 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
49.36.83.154,2023-12-26,05:53:43 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
49.36.83.154,2023-12-28,11:53:52 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,394101,21.1888,72.8293
49.36.83.154,2024-01-09,10:56:45 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-10,04:02:43 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-10,04:54:29 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-01-10,10:55:28 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
